Code Barre;Référence;Montant prix achat;Désignation;Quantité;Tva;Montant prix moyen;Prix de vente Gros;Prix de vente Min;Date d'éxpiration
3600550274707;ART00012166;0,00;A/SH DESSANGE REGENE;0;19,00;0,00;0,00;0,00;
8717163423257;ART00030464;0,00;A/SH DOVE;0;19,00;0,00;0,00;0,00;
3014230560118;ART00003161;0,00;A/SH DOVE CH COLO200;0;19,00;0,00;0,00;0,00;
3014230560101;ART00003160;0,00;A/SH DOVE CH NOR200M;0;19,00;0,00;0,00;0,00;
3014230560125;ART00003162;0,00;A/SH DOVE CH SEC200M;0;19,00;0,00;0,00;0,00;
8717163009338;ART00030368;0,00;A/SH DOVE COLOR;0;19,00;0,00;0,00;0,00;
8717644375563;ART00030760;0,00;A/SH DOVE CREME;0;19,00;0,00;0,00;0,00;
8717163423721;ART00030465;0,00;A/SH DOVE NORMAL 300;0;19,00;0,00;0,00;0,00;
8717644106150;ART00030679;0,00;A/SH DOVE PRO AGE300;0;19,00;0,00;0,00;0,00;
8717163423219;ART00030463;0,00;A/SH DOVE SEC 300ML;0;19,00;0,00;0,00;0,00;
5410103125312;ART00015953;0,00;A/SH ELSEVE ANTI CAS;0;19,00;0,00;0,00;0,00;
3600521325599;ART00011340;0,00;A/SH ELSEVE BOUCLE;0;19,00;0,00;0,00;0,00;
3054080004059;ART00005179;0,00;A/SH ELSEVE CHEV ABI;0;19,00;0,00;0,00;0,00;
3054080002949;ART00005173;0,00;A/SH ELSEVE CHEV COL;0;19,00;0,00;0,00;0,00;
3054080053323;ART00005218;0,00;A/SH ELSEVE CIT200ML;0;19,00;0,00;0,00;0,00;
3600520214931;ART00011163;0,00;A/SH ELSEVE COLOR;0;19,00;0,00;0,00;0,00;
3600521994467;ART00011425;0,00;A/SH ELSEVE COLORE;0;19,00;0,00;0,00;0,00;
3600520271385;ART00011171;0,00;A/SH ELSEVE EXP200ML;0;19,00;0,00;0,00;0,00;
3600522499442;ART00011488;0,00;A/SH ELSEVE FIBRALOG;0;19,00;0,00;0,00;0,00;
3600521398685;ART00011346;0,00;A/SH ELSEVE GELEE RO;0;19,00;0,00;0,00;0,00;
3600520751276;ART00011222;0,00;A/SH ELSEVE GLOSS;0;19,00;0,00;0,00;0,00;
3610340020346;ART00012410;0,00;A/SH ELSEVE HUILE EX;0;19,00;0,00;0,00;0,00;
3600522240815;ART00011464;0,00;A/SH ELSEVE KETRATIN;0;19,00;0,00;0,00;0,00;
3600010017912;ART00011111;0,00;A/SH ELSEVE LISS INT;0;19,00;0,00;0,00;0,00;
3600522016229;ART00011429;0,00;A/SH ELSEVE NOIR;0;19,00;0,00;0,00;0,00;
3054080073505;ART00005227;0,00;A/SH ELSEVE REG200ML;0;19,00;0,00;0,00;0,00;
3600522351092;ART00011478;0,00;A/SH ELSEVE TOTAL;0;19,00;0,00;0,00;0,00;
3600550166781;ART00012109;0,00;A/SH FRANK SEC;0;19,00;0,00;0,00;0,00;
3600540230928;ART00011641;0,00;A/SH FRUCTI CAS200ML;0;19,00;0,00;0,00;0,00;
3215662000030;ART00007773;0,00;A/SH FRUCTI COL200ML;0;19,00;0,00;0,00;0,00;
3215662000023;ART00007772;0,00;A/SH FRUCTI SEC200ML;0;19,00;0,00;0,00;0,00;
3600541287419;ART00011864;0,00;A/SH FRUCTIS AGRESSE;0;19,00;0,00;0,00;0,00;
3215662000047;ART00007774;0,00;A/SH FRUCTIS CH NORM;0;19,00;0,00;0,00;0,00;
3600540828651;ART00011780;0,00;A/SH FRUCTIS CHEV NO;0;19,00;0,00;0,00;0,00;
3600540826084;ART00011772;0,00;A/SH FRUCTIS COLOR R;0;19,00;0,00;0,00;0,00;
3600540016263;ART00011616;0,00;A/SH FRUCTIS HY LISS;0;19,00;0,00;0,00;0,00;
3600540826008;ART00011771;0,00;A/SH FRUCTIS HYDRA L;0;19,00;0,00;0,00;0,00;
3215662000016;ART00007771;0,00;A/SH FRUCTIS LONGS;0;19,00;0,00;0,00;0,00;
3600540929693;ART00011810;0,00;A/SH FRUCTIS NORMAL;0;19,00;0,00;0,00;0,00;
3600540825957;ART00011770;0,00;A/SH FRUCTIS NUTRI R;0;19,00;0,00;0,00;0,00;
3600540466297;ART00011672;0,00;A/SH FRUCTIS OIL REP;0;19,00;0,00;0,00;0,00;
3600541073579;ART00011833;0,00;A/SH FRUCTIS PURE;0;19,00;0,00;0,00;0,00;
3600540929815;ART00011812;0,00;A/SH FRUCTIS REPAIR;0;19,00;0,00;0,00;0,00;
3600540929778;ART00011811;0,00;A/SH FRUCTIS SLEEK;0;19,00;0,00;0,00;0,00;
3600540776587;ART00011744;0,00;A/SH FRUCTIS SOFT W;0;19,00;0,00;0,00;0,00;
3178040667518;ART00007231;0,00;A/SH GLISS ASIA LISS;0;19,00;0,00;0,00;0,00;
3178040676473;ART00007283;0,00;A/SH GLISS BRUN;0;19,00;0,00;0,00;0,00;
3178040673786;ART00007257;0,00;A/SH GLISS CACHEMIR;0;19,00;0,00;0,00;0,00;
3178040429864;ART00007063;0,00;A/SH GLISS COL 200ML;0;19,00;0,00;0,00;0,00;
3178040671119;ART00007248;0,00;A/SH GLISS COLORE;0;19,00;0,00;0,00;0,00;
3178040697478;ART00007348;0,00;A/SH GLISS COLORE;0;19,00;0,00;0,00;0,00;
5012583200147;ART00015358;0,00;A/SH GLISS COLORE;0;19,00;0,00;0,00;0,00;
3178040696440;ART00007345;0,00;A/SH GLISS HUILE PRE;0;19,00;0,00;0,00;0,00;
3178040643376;ART00007176;0,00;A/SH GLISS SECHE;0;19,00;0,00;0,00;0,00;
3178040683181;ART00007302;0,00;A/SH GLISS ULTIMATE;0;19,00;0,00;0,00;0,00;
3700227700826;ART00012560;0,00;A/SH HAIR LISS 500ML;0;19,00;0,00;0,00;0,00;
2004040200046;ART00002565;0,00;A/SH HAWAI 160ML;0;19,00;0,00;0,00;0,00;
2004040200039;ART00002564;0,00;A/SH HAWAI GM;0;19,00;0,00;0,00;0,00;
6131600000016;ART00020668;0,00;A/SH HAWAI GM;0;19,00;0,00;0,00;0,00;
6130096072064;ART00017918;0,00;A/SH ICOSIOM 250ML;0;19,00;0,00;0,00;0,00;
2004040200022;ART00002563;0,00;A/SH ICOSIUM 250ML;0;19,00;0,00;0,00;0,00;
3600550026399;ART00011902;0,00;A/SH J L D COLOR;0;19,00;0,00;0,00;0,00;
3600550041354;ART00011968;0,00;A/SH J.DESSANGE;0;19,00;0,00;0,00;0,00;
